10 51200 6647.33
10 51400 6674.6
10 51600 6696.63
10 51800 6722.84
10 52000 6729.52
10 52200 6750.09
10 52400 6768.2
10 52600 6820.22
10 52800 6836.04
10 53000 6853.86
100 51200 6773.62
100 51400 6791.45
100 51600 6786.9
100 51800 6808.08
100 52000 6831.53
100 52200 6863.13
100 52400 6858.37
100 52600 6886.06
100 52800 6904.18
100 53000 6916.35
200 51200 6810.81
200 51400 6829.33
200 51600 6847.9
200 51800 6860.01
200 52000 6870.19
200 52200 6854.52
200 52400 6862.23
200 52600 6870.55
200 52800 6883.56
200 53000 7000.47
300 51200 7065.81
300 51400 7084.05
300 51600 7096.97
300 51800 7114.1
300 52000 7114.28
300 52200 7126.13
300 52400 7147.89
300 52600 7158.84
300 52800 7172.35
300 53000 7161.28
400 51200 7137.88
400 51400 7147.0
400 51600 7169.46
400 51800 7189.33
400 52000 7194.35
400 52200 7201.19
400 52400 7212.06
400 52600 7250.45
400 52800 7259.25
400 53000 7266.78
500 51200 6930.63
500 51400 6927.03
500 51600 6940.79
500 51800 6840.55
500 52000 6898.12
500 52200 6907.14
500 52400 6919.48
500 52600 6932.98
500 52800 6949.49
500 53000 6971.84
600 51200 6948.41
600 51400 6989.5
600 51600 7007.06
600 51800 7104.1
600 52000 7113.21
600 52200 7132.33
600 52400 7163.01
600 52600 7180.52
600 52800 7198.87
600 53000 7218.48
700 51200 7139.88
700 51400 7163.06
700 51600 7188.22
700 51800 7211.18
700 52000 7232.55
700 52200 7253.49
700 52400 7248.14
700 52600 7257.35
700 52800 7241.61
700 53000 7181.18
800 51200 7060.15
800 51400 7070.82
800 51600 7100.78
800 51800 7108.49
800 52000 7131.83
800 52200 7158.74
800 52400 7177.91
800 52600 7207.72
800 52800 7235.37
800 53000 7251.48
900 51200 7055.79
900 51400 7083.85
900 51600 7155.55
900 51800 7115.48
900 52000 7142.94
900 52200 7130.41
900 52400 7206.57
900 52600 7239.93
900 52800 7265.57
900 53000 7295.9
